english,farsi
tub,طشت
tub,لگن
Tuba,طوبي
tubate,لوله مانند
tubber,شستشو دهنده
tubber,طشت ساز
tube,تيوب
tube wrench,آچار لوله
tuber,تکمه
tubercular,آزخي
tubercular,سلي
tubercular,آزخ دار
tubercular,تکمهاي
tubercular,تکمه اي
tuberculation,برجستگي يازگيل
tuberculosis,سل
tuberculous,سلي
tuberculous,مسلول
tuberose,گل مريم
tubing,لوله سازي
tubing,لوله گذاري
tubing,نصب لوله
tubular,لولهاي
tubule,لوله کوچک
tuck,تو گذاشتن
tuck,شمشير نازک
tuck,شدت زومندي
tuck,شيريني مربا
tuck shirt,دامن برچيدن
tuck up,بالا زدن
tucking,بالازدگي
tucking,بالازني
tucking,تو گذاري
Tuesday,سهشنبه
Tuesday,سهشنبه
Tuesday,سه شنبه
Tuesday,روز سه شنبه
Tuesday evening,سه شنبه عصر
Tuesday night,سه شنبه شب
Tufan,طوفان
Tufi Rabihi,توفيق ربيحي
tuft,شرابه
tuft,ريشه پارچه
tuft,ته ريش
tuft,منگوله
tuft,منگله
tuft,جغه
tug,بازور کشيدن
tug,بزحمت کشيدن
tug,يدک کش
tugboat,ناو يدک کش
tugger,وسيله نقاله
tuition,شهريه
tuition,آموزانه
tuition,پذيرانه
tuition fee,حقالتعليم
tulip,گل لاله
tulle,توري
tumble,بهم ريختگي
tumble,معلق خوردن
tumble,غلت زدن
tumble,ناگهان افتادن
tumbler,معلق زن
tumescent,ورقلنبيده
tumescent,ورم کرده
tumid,ورقلنبيده
tumid,آماسيده
tumid,ورم کرده
tumor,تومور
tumor,ورم
tumor,دشپل
tumor,غده
tumorous,دشپلي
tumult,هياهو
tumult,جنجال راه
tumultious,پرجنجال
tumultuous,بهم ريخته
tumultuous,پر آشوب
tumulus,مقبره
tun,دربشکه ريختن
tun,لوله بخاري
tundra,تندرا
tune,کوک کردن
tune,لحن
tune,آهنگ
tune,کوک زدن
tuned,کوک شده
tuned,وفق يافته
tuneful,خوش الحان
tuneless,ناکوک
tuner,ميزان کننده
tuner,نواگر
tunes,الحان
Tung Chi Hua,تونگ چي هوا
tungsten,تنگستن
tunicle,لباس کوتاه
Tunisia,تونس
tunnel,زيرنقب
tunnel,تونل ساختن
tunnel,تونل
tunnel,زيرنقب زدن
tunnel,سوراخ کوه
tunnel,نقب
tunnel,نقب راه
tunnel,نقب زدن
tuppence,دوپني
Turaj,تورج
Turan,توران
turanian,توراني
turban,دستار
turban,عمامه
turban,عصابه
turbid,درهم وبرهم
turbid,کدر
turbidity,گل آلودي
turbidity,مه آلودي
turbinate,فرفرهاي
turbine,توربين
turbojet,جت توربيني
turbulence,اغتشاش
turbulence,تلاطم
turbulent sea,درياي منقلب
turd,سنده
turf,کلوخ چمني
turf,باچمن پوشاندن
turgid,پر طمطراق
turgidity,پر طمطراقي
Turk,ترک
Turkaman,ترکمن
Turkaman,ترکمني
Turkestan,ترکستان
Turkey,عثماني
turkey,بوقلمون
Turkey,ترکيه
Turkish,عثماني
turkish,ترک
Turkish,ترکي
Turkish delight,راحت الحلقوم
Turkman,ترکمان
Turkman,ترکمان
Turkmen,تراکمه
Turkoman,ترکمن
Turkoman,ترکمني
turmeric,زردچوبه
turmoil,بهم خوردگي
turn,پيچ کردن
turn,واگرديدن
turn,پستا
turn,پيچ خوردن
turn,پيچ وتاب خوردن
turn,مبدل شدن
turn,داو
turn,پيچاندن
turn,چرخ زدن
turn,پيچ دادن
turn,بر گرداندن
turn,گرداندن
turn,بدل شدن
turn,مبدل کردن
turn,نوبت
turn,گشتن
turn,منعطف کردن
turn,پيچ
turn,چرخش
turn,چرخان
turn,گرديدن
turn,فر
turn,چرخيدن
turn against,دشمن شدن
turn around,دورزدن
turn away from,رو گرداندن
turn French,فرانسوي کردن
turn into,تبديل کردن
turn into ashes,خاکستر شدن
turn off,نقطه انحراف
turn off,خاموش کردن
turn off,نقطه تحول
turn off,محل چرخش
turn on,بجريان انداختن
turn on,روشن کردن
turn on,روشنکردن
turn on radio,راديو روشن کردن
turn on radio,راديو گرفتن
turn out to be a liar,دروغ در آمدن
turn out to be a liar,دروغگو از آب در آمدن
turn over,وارونه کردن
turn over,واگذار کردن
turn over,تسليم کردن
turn over,عايدي فعاليت
turn over,واژگون شدگي
turn pale,رنگ باختن
turn round,چرخاندن
turn round,چرخانيدن
turn to,بکار پرداختن
turn to,عطف توجه
turn to,روي آوردن
turn to dust,خاک شدن
turn upside down,واژگون شدن
turn upside down,زير و زبر کردن
turn upside down,زير و رو کردن
turn upsided down,زير پا گذاشتن
turn yellow,زرد شدن
turned,منعطف
turned,معدول
turned,نگون
turned back,برگشته
turned over,محول
turned over,محول شدن
turned upside down,وارونه
turner,خراط
turner,چرخاننده
turner,چرخنده
turner,برگردان
turner,چرخ کار
turnery,کارخانه تراش
turnery,تراش کاري
turnery,تراشکاري
turnery,منبت کاري
turnery,خراطي
turnery,ماشين تراش
turning,گردنده
turning,گردش
turning,خراطي
turning,گردنده
turning,دوار
turning,دورگرد
turning,گردان
turning,برگرداني
turning,گردون
turning over,احاله
turning point,مرحله قاطع
turning point,نقطه تحول
turnip,شلغم
turnip cabbage,کلم قمري
turnstile,گردان در
turntable,سکوب چرخنده
turpeth,تربد
turret,برج کوچک
turret,برج گردان
turtle,سنگ پشت
turtle,لاک پشت
turtle,لاک پشت
turtle,لاک پشت وار
turtle,کبوتر قمري
turtledove,طوقي
turtleneck,يقه برگردان
Tusa,توسا
Tuscany,توسکاني
tussle,مسابقه جسماني
tutelary,وابسته بقيمومت
tutelary,وابسته بسرپرست
tutor,معلم سر خانه
tutor,لله
tutor,معلم سرخانه
tutor,معلمي کردن
tutoress,قيم زن
tutoress,آموزگار زن
tutoress,معلمه
tutorial,معلم سرخانه
tutorship,للگي
tutorship,حضانت
tutty,توتيا
tux,لباس رسمي
tuxedo,لباس رسمي
tuxedo,اسموکينگ
twaddler,مهمل گو
twaddler,چرند نويس
twang,صداي تودماغي
twang,صداي زه
twangy,تو دماغي
tweak,نيشگون تيز
tweed,نوعي فاستوني
tweeze,باموچين کندن
tweezers,انبرک
tweezers,منقاش
tweezers,موچين
twelve,يک دوجين
twelve,دوازده
twelve,اثني عشر
twelve,دوازدهگانه
twentieth,بيستم
twentieth,بيستمين
twentieth,بيستم
twenty,بيست
twenty-five,بيست و پنج
twenty-four-hour,شبانه روزي
twenty-three,بيست و سه
twice,دودفعه
twice,دو مرتبه
twice,دوبار
twice,دوبرابر
twice,دوبرابر
twice,دودفعه
twice,دومرتبه
twice monthly,ماهي دوبار
twig,چيله
twig,شاخه
twig,ترکه
twilight,شفق
twilit,گرگ وميش
twilit,نيمه روشن
twill,پارچه جناغي
twin,دوقلو
twin,دو پيکر
twin,همزاد
twin,دوتائي
twin,دوقلو
twin,همزاد
twin check,بررسي توام
twin-winged,دوباله
twine,بهم بافتن
twine,نخ قند
twinge,تير کشيدن
twinge,درد شديد
twinge,سرزنش وجدان
twinkle,چشمک
twinkle,مژگان راتکان دادن
twinkle,مژگان بهم زدن
twist,شکنج
twist,پيچ دار کردن
twist,انحنا
twist,پيچش
twist,نورديدن
twist,تافتن
twist,پيچاندن
twist,ماز
twist,پيچ خوردگي
twist,پيچ
twist,خم کردن
twist,تاب دادن
twist,تاب خوردن
twisted,تابيده
twisted,پيچ خورده
twisted,تافته
twisted,تابداده
twisted,تابدار
twisted wire,مفتول
twisting,پيچان
twitch,ناگهان کشيدن
twitch,منقبض کردن
twitch,منقبض شدن
twitter,چهچه زدن
twitter,هيجان وارتعاش
twitter,سرزنش کننده
two,دو
two,استوار
two by four,دو در چهار
two fistful,دو مشتي
two hundred,دويست
two hundreth,دويستمين
two lips,شفتين
two sets,دودست
two sets,دو دست
two star,دريا دار
two third,چار دانگ
two worlds,دارين
two-door,دو در
two-eyed,دوچشمي
two-folded,مثني
two-footed,دوپا
two-headed,دوسره
two-humped,دوکوهانه
two-legged,دوپايه
two-ply,دولا
two-ply,دولائي
two-sided,دوطرفي
two-sided,جنبتين
two-sided,ذوجنبتين
two-story,دوطبقه
twofold,دوچندان
twofold,دوگانه
twosome,دو نفري
Tylenol,تايلنول
tymbal,دهل
tympan,جبهه کليسا
tympanites,استسقاء طبل
tympanon,جبهه کليسا
tympanum,پرده صماخ
tympany,صداي سنگين
typal,نمونه اي
type,جنم
type,ماشين تحرير
type,نوع
type,نمونه
type,ماشين کردن
type,تيپ
type,گون
type,گون
type genus,نوع مشخص
type writer,ماشين تحرير
typeface,سبک حروف
types,انواع
typeset,حروف چيدن
typesetter,حروفچين
typesetting,حروف چيني
typhoid fever,حصبه
typhoid fever,مطبقه
typhous,حصبهاي
typhus,تيفوسي
typhus,تيفوس
typical,نوعي
typicality,شاخصيت
typification,علامت سازي
typification,طبقه بندي
typify,نمونه بودن
typify,نمونه دادن
typographer,چاپچي
typographer,مطبعه چي
typographer,چاپچي
typographic,چاپي
typology,نوع شناسي
typology,گونه شناسي
typology,نشانه شناسي
tyrannical,ستمکار
tyrannically,جبارانه
tyrannicide,ستمگر کشي
tyrannicide,ستمگر کش
tyrannize,مستبدانه حکومت کردن
tyranny,ظلم
tyranny,جور و ستم
tyranny,ظلم وستم
tyranny,ستم
tyranny,ستمگري
tyrant,سلطان ظالم
tyrant,جبار
tyrants,ضلمه
Tyson,تايسون
uaual,مالوف
ubholestry,پارچه مبلي
uderstood,مفهوم
UFO,بشقاب پرنده
Uganda,اوگاندا
Ugandan,اوگاندايي
Ugandan,اوگاندايي
ugh,اه
uglify,زشت کردن
ugliness,زشتي
ugliness,بدشکلي
ugliness,بدريختي
ugliness,بدگلي
ugliness,بدترکيبي
ugliness,نازيبائي
ugly,بد قيافه
ugly,بدشکل
ugly,بدگل
ugly,بدلقا
ugly,بدنما
ugly,بدقيافه
ugly,بدريخت
ugly,بدترکيب
ugly,نامقبول
ugly,بد منظر
ugly,بد گل
ugly,بي قواره
ugly,شنيع
ugly,بي ريخت
ugly,کريه
ugly,بد شکل
ugly,زشت
ugly,زشت رو
ugly,نازيبا
Ukraine,اوکراين
Ukrainian,اوکرايني
Ukranian,اکراين
ulcer,زخم معده
ulcerate,توليد قرحه کردن
ulcerate,ريش شدن
ulcerous,قرحه دار
ulcerous,زخم دار
ulna,زند زيرن
ulna,زند اسفل
ultimate,آجل
ultimate,بازپسين
ultimate,منته
ultimate,نهايه
ultimate,غائي
ultimately,آجلا
ultimately,مآلاً
ultimatum,اتمام حجت
ultimatum,اولتيماتون
ultimatum,آخرين پيشنهاد
ultra,ماوراي
ultra solar system,ماوراء منضومه شمسي
ultra solar system,ماوراء منضومه شمسي
ultraism,فراگرايش
ultraism,افراط کاري
ultraism,زياده روي
ultramodern,فرانو
ultramodernist,فرانو گراي
ultramontane,ماوراء کوهها
ultramontane,ماوراء کوهها
ultramundane,ماورا جهان
ultramundane,ماوراگيتي
ultramundane,فراجهاني
ultrared,فراسرخ
ultrared,فراقرمز
ultrasonic frequency,بسامد فراصوتي
ultraviolet,ماوراء بنفش
ultraviolet,ماوراء بنفش
ultraviolet,فرابنفش
ultraviolet light,اشعه فرابنفش
ululant,زوزه کش
ululation,زوزه کشي
umbellate,چتري
umbellate,چتري
umbelliform,چتري شکل
umbilical,نافي
umbilicate,نافدار
umbra,نقطه تاريک
umbrageous,سايه دار
umbrella,چترک
umbrella,چتر باراني
umbrella,چتر
umpire,سرداور
umpteen,معتني به
umpteenth,معتني به
unaadorned,بي پيرايه
unaadorned,بي زيور
unabated,فرو ننشسته
unabated,کاسته نشده
unable,عاجز
unable,فرومانده
unabridged,تلخيص نشده
unabridged,کوتاه نشده
unabridged,مختصر نشده
unacceptable,نامقبول
unacceptable,نامسموع
unacceptable,ناپذير
unacceptable,غيرمقبول
unaccommodated,فراهم نشده
unaccommodated,بي مسکن
unaccompanied,بدون مصاحب
unaccompanied,بدون همراه
unaccountable,عريب
unaccounted,بحساب نيامده
unaccounted,فاقد توضيح
unaccustomed,غيرمعتاد
unaddicted,غيرمعتاد
unadulterated,مخلوط نشده
unaligned,غير متشکل
unallowable,غيرمجاز
unalloyed,بدون آلياژ
unalloyed,غير مخلوط
unalterable,غير متغير
unambiguous,نامبهم
unambiguous,بي صراحت
unanimity,همرائي
unanimity,همدلي
unanimous,متفق الراي
unanimous,متفقالقول
unanimous,هم راي
unanimous,متفق القول
unanimously,متفقا
unanimously,بالاتفاق
unanimously,اجماعا
unanimously,با اتفاق آراء
unanimously agreed,متفق عليه
unanimously agreed upon,متفق عليه
unanswerable,بيجواب
unanswerable,جواب ناپذير
unanswerable,بي جواب
unanticipated,پيشبيني نشده
unappealing,نچسب
unappealing,غير جذاب
unappealing,غير منطقي
unappeasable,اقناع نشدني
unapt,غير محتمل
unapt,غير متناسب
unarm,خلع سلاح کردن
unarm,غير مسلح کردن
unarmed,غيرمسلح
unarmed,مجهز نشده
unarmed,بي اسلحه
unarmed,بي سلاح
unary,يگاني
unary operation,عمل يگاني
unary operator,عملگر يگاني
unasked,سوال نشده
unasked,مطالبه نشده
unasked,ناپرسيده
unasked,پرسيده نشده
unassailable,يورش ناپذير
unassailable,غيرقابل حمله
unattended,بي مراقبت
unattended,بي سرپرست
unattractive,بي ملاحت
unauthorized,غير مجاز
unavailable,بدون دسترسي
unavailable,غيرموجود
unavoidable,چاره ناپذير
unavoidable,حتميالوقوع
unaware,ناخود آگاهانه
unaware,بدوناطلاع
unaware,بي خبر
unaware,بي وقوف
unaware,غافل
unaware,بي اطلاع
unawareness,بي اطلاعي
unawareness,بي خبري
unawares,غفلتا
unawares,ناخود آگاهانه
unbalance,غير متعادل کردن
unbalance,عدم توازن
unbalanced,نامتعادل
unbalanced,نامتوازن
unbeatable,باخت ناپذير
unbeatable,بي همتا
unbeatable,مغلوب نشدني
unbeatable,شکست ناپذير
unbeaten,مغلوب نشده
unbeaten,نباخته
unbeaten,ضرب نخورده
unbeaten,شکست نخورده
unbecoming,ناپسنديده
unbecoming,ناپسند
unbelievable,باور نداشتن
unbelievable,باور نکردني
unbeliever,غير مومن
unbeliever,کافر
unbelievin,غير مومن
unbiased,بي پيشقدر
unbleached calico,متقال
unblenched,غير مشوش
unbored,ناسفته
unborn,نزاده
unborn,غير مولد
unborn,نازاد
unborn,هنوززاده نشده
unbound,رها شده
unbound,مقيد نشده
unbound,غير محدود
unbranched,بدون شعبه
unbranched,بدون انشعاب
unbreakable,ناگسستني
unbred,پرورش نيافته
unbridle,لجام گسيخته کردن
unbridled,بي لجام
unbridled,بي مهار
unbridled,بي لگام
unbroken,ناشکسته
unburden,سبکبار کردن
unburnable,سوختهنشدني
unbutton,گشودن دکمه
unbutton,دکمه باز کردن
unbutton,تکمه باز کردن
uncalled,ناطلبيده
uncalled for,غير ضروري
unceasing,ايست ناپذير
unceasing,بلاانقطاع
unceasing,پايان ناپذير
unceremonious,بي تشريفات
unceremonious,بي تعارف
uncertain,نامعين
uncertain,غيرقطعي
uncertain,مشکوک
uncertain,دمدمي
uncertain,بلاتکليف
uncertain,غير معين
uncertain,بلا تکليف
uncertainty,نامعلومي
unchallenged,بلامعارض
unchallenged,بلا معارظ
unchanged,عوض نشده
uncharged,محسوب نشده
uncharitable,بي خير
uncharming,بي ملاحت
uncharted,اکتشاف نشده
unchaste,تردامن
unchaste,آلوده دامن
unchaste,بي ناموس
unchaste,بي عفاف
unchaste,بي عفت
unchastity,بي عفتي
unchastity,بي ناموسي
unchastity,تردامني
unchristian,غير مسيحي
uncial,يک دوازدهمي
uncinate,قلاب دار
uncircumcised,غير يهودي
uncircumcised,غير مختون
uncivil,بي تمدن
uncivility,بي تمدني
uncivilized,بي تمدن
uncivilized,غير متمدن
uncivilized,غير متمدن
uncivilized,غير متمدن
unclaimed,بلا معارض
unclassified,بي درجه
unclassified,غير سري
uncle,دايي
uncle,عمو
uncle,عمو
uncle,آبو
uncle,عم
uncle sam,عمو سام
unclean,ناپاک
unclean,غير سالم
unclean,نجس
unclear,غيرمشخص
unclear,غير مشخص
unclear,نامشخص
unclear,غير مفهوم
unclear,ناشنوا
unclear,ناشمرده
unclear,نا مشخص
uncloak,بي ردا کردن
unclothe,برهنه شدن
unclothe,برهنه کردن
unco,شخص غريبه
unco,غير عادي
uncoditioned,شرط نشده
uncoditioned,قطعي نشده
uncoditioned,غيرمشروط
uncoditioned,قيد نشده
uncomfortable,ناخوشايند
uncomfortable,ناراحت
uncommon,غيرمعمول
uncommon,غير عادي
uncommon,غير متداول
uncommon,غير مصطلح
uncommunicative,کم حرف
uncompared,غير ممثل
uncomplimentary,بي تعارف
uncomplimentary,غير کامل
uncompromising,سخت ناسازگار
uncompromising,مصالحه ناپذير
uncomputable,محاسبه ناپذير
unconcern,عدم علاقه
unconcerned,بي عرقه
unconditional,بي شرط
unconditional,بلا شرتط
unconditional,طلق
unconditional,مطلق
unconditional,بدون شرط
unconditional,غيرمشروط
unconditional,غير شرطي
unconfirmed,پادر هوا
unconnected,نامربوط
unconquerable,مغلوب نشده
unconquerable,تسخيرناپذير
unconquerable,شکست ناپذير
unconscionable,بي وجدان
unconscionable,غير معقول
unconscious,بي هوش
unconscious,غافلانه
unconscious,ناخودآگاه
unconscious,بيهوش
unconscious,غش کرده
unconscious,نابخود
unconscious,ضمير ناخودآگاه
unconscious,ناخودآگاه
unconscious,مدهوش
unconscious,غافلانه
unconscious,ضمير نابخود
unconsciousness,بي هوشي
unconsidered,نسنجيده
unconstitutional,برخلاف مشروطيت
uncontaminated,بدون آلودگي
uncontrollable,غيرقابل نظارت
uncontrollable,کنترل ناپذير
uncontrollable,غيرقابل جلوگيري
uncooked,نپخته
uncoordinated,ناهماهنگ
uncoordinated,بدون هماهنگي
uncorrelated,ناهمبسته
uncounted,نشمرده
uncounted,شمرده نشده
uncouth,ناسترده
uncover,بي پوشش کردن
uncoverd,روباز
uncovered,بي پوشش
uncovered,نپوشيده
uncovered,رو باز
uncovered,بي لفاف
uncovering,روبرداري
uncreated,غير مخلوق
uncritical,غير انتقادي
unction,چرب زباني
unction,مداهنه
unction,تلذذ
unction,مرهم گذاري
unctuous,مداهنه آميز
uncultivated,نامزروع
uncultivated,موات
uncultivated,نتراشيده و نخراشيده
uncurl,بي فر شدن
uncut,قطع نشده
uncut,بريده نشده
undated,بي تاريخ
undecided,غير مصمم
undecided,بي تکليف
undecorated,بي پيرايه
undefeatablity,شکست ناپذيري
undemonstrative,غير مدلل
undemonstrative,غيرمثبت
undeniable,انکار ناپذير
undeprivable,محروم نشدني
under,تحت
under,دستخوش
under,مورد
under,زير
under,درزير
under,در زير
under,کسري دار
under interrogation,تحت بازجويي
under repair,در دست تعمير
under the attention of,تحت توجه
under the name of,تحت عنوان
under the notion that,به تصور اين که
under the presumption that,به گمان اين که
under the pretence that,به بهانه اينکه
under the protection of,تحت حفاظت
under way,دردست اقدام
underage,فروسال
underage,فروسال
underage,نابالغ
underage,صغير
underarm,زيربغل
underbelly,زيرشکم
underbody,زير تنه
underbred,نااصل زاده
underchin,زير فک
underclothes,لباس زير
underclothes,زير پيراهني
underclothing,زير پيراهني
underclothing,لباس زير
undercoat,بتونه کاري کردن
undercoat,پشم زيرين
undercoat,بطانه
undercoat,آستر
undercoat,زير لايه
undercover,زيرجلي
undercover,زير جلي
undercroft,اتاق کليسا
undercurrent,جريان تحتاني
undercurrent,زير موج
undercurrent,عمل پنهاني
undercut,راسته
undercut,پشت مازه
underdeveloped,عقب افتاده
underdeveloped,کم توسعه
underdeveloped,توسعه نيافته
underdeveloped,کم پيشرفت
underdeveloped,بي صنعت
underdeveloped,بدون ترقي
underdrawers,زير شلواري
underestimate,آسان شمردن
underestimate,ناچيز پنداشتن
underestimate,دست کم گرفتن
underestimate,کم گرفتن
underestimate,آسان گرفتن
underestimation,ناچيز شماري
underflow,پاريز
underfoot,جلو راه
undergarment,زير جامه
undergarment,زيرپوش
undergarment,زير پوش
undergarment,لباس بزير
undergo,متحمل چيزي شدن
undergo mortification,رياضت کشيدن
undergo surgery,تحت عمل جراحي قرار گرفتن
underground,زيرزميني
underground,زير زمين
underground,زير زمين
undergrowth,زير گياه
undergrowth,زير رست
underhand,زير جلي
underlay,لايه زيرين
undermost,زير ترين
undermost,زيرين
undermost,ادني
underneath,از زير
undernourished,گرفتارسوء تغذيه
undernourished,سوء تغذيه
undernourishment,گرفتارسوء تغذيه
undernourishment,سوء تغذيه
underpants,زيرشلواري
underpants,زير شلواري
underpants,زير پوش
underpart,بخش فرعي
underpart,زيرين بخش
underpart,بخش تحتاني
underpass,زيرين راه
underpin,پي بندي کردن
underpinning,پي بري
underpinning,پي بندي
underprivileged,درمضيقه
underprivileged,کم اميتاز
underrate,ناچيز شمردن
underscore,زيرين خط
undersea,زير دريا
undersea,زيرآبي
undersea,زيرآبي
undersecratary,معاون وزارت خانه
undersecretary,معاون وزارتخانه
undersecretary,معون وزارتخانه
undersecretary,معاونت
undersecretary,معاون وزير
undershirt,عرقگير
underside,دورني
undersign,درزير ورقه
underskin,زيرپوست
underskirt,زيردامني
understand,ملتفت شدن
understand,ادراک کردن
understand,درک کردن
understand,آگاهي يافتن
understand,برداشت کردن
understand,دريافتن
understand,فهميدن
understand,حالي شدن
understandable,دريافتني
understanding,برداشت
understanding,درک
understanding,دريافت
understanding,تفاهم
understanding,درک عقلاني
understanding,ادراک
understanding,تفهم
understatement,کتمان حقيقت
understood,مستفاد
understrapper,شخص حقيقر
understrapper,شخص کوچک
undersurface,موجود درزيرسطح
undersurface,فرورويه
undertake,متقبل شدن
undertake,عهدهدار شدن
undertake,تقبل کردن
undertake,متعهد شدن
undertake,بعهده گرفتن
undertake,به عهده داشتن
undertake,مبادرت کردن
undertake,ملتزم شدن
undertaker,جواب گو
undertaking,متکفل
undertaking,عهدهگيري
undertaking,تعهد
undertaking,جواب گو
undertone,ته رنگ
undertone,ته صدا
undervarious,بعناوين گوناگون
underwater,زير آبي
underwater,زير آب
underwater,زير آبزي
underwater,زير آبي
underwater,زير آب
underwear,لباس زير
underwear,زيرلباس
underwear,لباس زير
underwear,زير پوش
underwear,زيرجامه
underweight,کسر وزن
underwood,زير بوته
underworld,عالماموات
underworld,زيرين جهان
undeserving,ناسزاوار
undeserving,نامستحق
undeserving,نامستحق
undeserving,ناشايست
undeserving,نالايق
undesirability,نامرغوبي
undesirability,نامطلوبي
undesirable,نا مرغوب
undesirable,نا مطلوب
undesirable,نامرغوب
undesirable,نامرغوب
undesirable,نامطلوب
undesirable,نامطلوب
undesirable,ناخوش آيند
undetectable,نايافتني
undetected,نايافته
undetected,کشف نشده
undetermined,نامعين
undetermined,غير معين
undeviating,بدون انحراف
undirected,هدايت نشده
undisciplined,بي انضبات
undisputed,بي مخالفت
undissolveable,غيرمحلول
undistinguishable,تميز ندادني
undisturbed,مختل نشده
undividable,بخش ناپذير
undo,بياثرکردن
undoubtedly,بيگمان
undoubtedly,بدون شک
undoubtedly,بدون ترديد
undoubtedly,بي شک
undoubtedly,بي ترديد
undoubtedly,بلا شک
undoubtedly,بي گمانم
undoubtedly,بلا ترديد
undress,لباس کندن
undue,غير ضروري
undue,بي جهت
undulant,موج دار
undulate,موجدار بودن
undulate,موجدار کردن
undulate,نوسان کردن
undulate,نوسان داشتن
undulate,تموج داشتن
undulation,زيروبم
undulation,موج
undulatory,موجي
undutiful,وظيفه نشناس
undutiful,وظيفه نشناسي
undutiful,ناخلف
undying,غير فاني
unearth,از زير درآوردن
unearth,آفتابي کردن
unearthly,غيرزميني
uneasiness,بي آرامي
uneasy,مضطرب
uneasy,بي آرام
unedible,عير ماکول
uneducated,بيانش
uneducated,بيعلم
uneducated,بي کمال
uneducated,بي معرفت
unemotional,بدون احساسات
unemploy,بي کار کردن
unemployable,غيرفابل استخدام
unemployed,خانه نشين
unemployed,بي کار
unemployed,بي کاره
unemployed,بي حرفه
unemployed,بيکار
unemployed,بيکار
unemployed,بکار بيفتاده
unemployment,بيکاري
unemployment,بي کاري
unemployment,عدم اشتغال
unemployment,بيکارسازي
unemployment benefits,خدمات بيکاري
unemployment crisis,بحران بيکاري
unenduring,بي بقا
unenduring,بي دوام
unenthusiastic,بي ذوق
unequal,غيريکنواخت
unequal,غيريکسان
unequal,نامساوي
unequal,نامساوي
unequal,نابرابر
unequipped,مجهز نشده
unequipped,بي وسيله
unequivocal,غير مبهم
unequivocal,بدون ابهام
unerring,اشتباه نشدني
unerring,بي خطا
UNESCO,يونسکو
unessential,غير اصلي
unessential,غيراساسي
unessential,غير مهم
unessential,غير ضروري
uneven,ناهموار
uneven,ناصاف
unevenness,ناصافي
unevenness,ناهمواري
uneventful,بي حادثه
unexampled,غير موازي
unexceptionable,استثناء ناپذير
unexpected,ناگاه
unexpected,غيره مترقبه
unexpected,غافلگيرانه
unexpected,غيرمترقبه
unexpected,غيرمنتظره
unexpected,غير مترقبه
unexpected,غير منتظره
unexpectedly,غفلتا
unexpectedly,غافلگيرانه
unexpectedness,غيرمترقبهبودن
unexplainable,توضيح ناپذير
unexplained,بدون توضيح
unexpressive,غير حاکي
unexpressive,بي حالت
unfadable,نازدودني
unfadable,محو نشدني
unfailing,کم نيامدني
unfair,غيرمنصفانه
unfair,غير منصفانه
unfair,بي انصاف
unfair,غيرمنصفانه
unfair,ناروا
unfaith,نقض ايمان
unfaithful,نقض ايمان
unfaithful,بدقول
unfaithful,بيوفا
unfaithful,بي وفا
unfaithfulness,بدعهدي
unfamiliar,ناآشنا
unfamiliar,ناشناخته
unfathomable,تعمق ناپذير
unfavorable,نا مساعد
unfavorable,بدآمد
unfavorable,نامساعد
unfeeling,فاقد احساسات
unfetter,از زنجيرآزاد شدن
unfilled,پر نشده
unfinished,تمام نشده
unfinished,بي پايان
unfinished,ناتمام
unfinished,ناقص
unfirm,معلول
unfit,ناباب
unfit,نامناسب کردن
unforeseen,غيرمترقبه
unforgettable,فراموش نشدني
unforgivable,نبخشيدني
unforgivable,پوزش ناپذير
unforgiving,بي گذشت
unformed,ناساخت
unfortunate,بخت برگشته
unfortunate,مفلوک
unfortunate,بدشانس
unfortunate,نامسعود
unfortunate,بيبهره
unfortunate,بي طالع
unfortunate,بي نصيب
unfortunate,بداقبال
unfortunate,بداختر
unfortunate,کم طالع
unfortunate,مايه تاسف
unfortunate,شوربخت
unfortunate,سياه بخت
unfortunate,نگون بخت
unfortunate,نگونبخت
unfortunate,بدبخت
unfortunate,شوره بخت
unfortunately,بدبختانه
unfortunately,متاسفانه
unfounded,بي بنياد
unfounded,بي اصلص
unfounded,ناموجه
unfounded,بي اصل
unfounded,بي اساس
unfrequented,غير مکرر
unfriendly,غيردوستانه
unfriendly,غيردوستانه
unfrock,خلع لباس کردن
unfruitful,بي حاصل
unfruitful,بي ثمر
unfruitful,بي بار
unfruitfulness,بي حاصلي
unfulfilled,سير نشده
unfulfillment,عدمتحقق
unfunded,بدون سرمايه
unfunded,بي بودجه
unfurnish,بي اثاثيه کردن
unfurnished,بدون اثاثيه
ungenerous,کم خير
ungenerous,بي سخاوت
ungenerous,ناجوانمرد
ungovernable,غيرقابل کنترل
ungovernable,لجام گسيخته
ungraceful,بدادا
ungraceful,بي وقار
ungracious,ناصواب
ungrateful,ناخوش آيند
ungrateful,حق نشناس
ungrateful,ناممنون
ungrateful,نمک بحرام
ungrateful,بي چشم و رو
ungrateful,بي معرفت
ungrateful,ناشکر
ungrateful,ناسپاس
ungrateful,نمک ناشناس
ungrateful,بي صفت
ungrateful,نمک بحرام
ungratefulness,حق نشناسي
ungual,شبيه سم
ungual,سم دار
ungual,ناخني
ungual,ناخن دار
ungulate,سم دار
unhallow,نامقدس کردن
unhappy,نامراد
unhappy,سياه روز
unhappy,ناشاد
unharmed,بي جراحت
unhealthiness,ناتندرستي
unhealthy,غير سالم
unhealthy,ناسالم
unhealthy,غيرسالم
unhealthy,ناخوشي آور
